ngram,phones,words,file,start_s,end_s
triphone,p ə t,petite,1-1.wav,13.400,13.660
triphone,ə t i,petite,1-1.wav,13.520,13.740
triphone,t i t,petite,1-1.wav,13.540,13.840
triphone,i t ʃ,petite chèvre,1-1.wav,13.660,14.010
triphone,t ʃ ɛ,petite chèvre,1-1.wav,13.740,14.130
triphone,ʃ ɛ v,chèvre,1-1.wav,13.840,14.260
triphone,ɛ v ʁ,chèvre,1-1.wav,14.010,14.390
triphone,v ʁ d,chèvre dès,1-1.wav,14.130,15.310
triphone,ʁ d ɛ,chèvre dès,1-1.wav,14.260,15.430
triphone,d ɛ k,dès que,1-1.wav,15.240,15.540
triphone,ɛ k ə,dès que,1-1.wav,15.310,15.560
triphone,k ə l,que le,1-1.wav,15.430,15.650
triphone,ə l ø,que le,1-1.wav,15.540,15.760
triphone,l ø t,le tambour,1-1.wav,15.560,15.850
triphone,ø t ɑ̃,le tambour,1-1.wav,15.650,15.970
triphone,t ɑ̃ b,tambour,1-1.wav,15.760,16.060
triphone,ɑ̃ b u,tambour,1-1.wav,15.850,16.140
triphone,b u ʁ,tambour,1-1.wav,15.970,16.230
triphone,u ʁ b,tambour bat,1-1.wav,16.060,16.340
triphone,ʁ b a,tambour bat,1-1.wav,16.140,16.640
triphone,b a l,bat les,1-1.wav,16.230,16.870
triphone,a l e,bat les,1-1.wav,16.340,16.980
triphone,l e ʒ,les gens,1-1.wav,16.800,17.100
triphone,e ʒ ɑ̃,les gens,1-1.wav,16.870,17.320
diphone,m ɔ̃,mon,1-2.wav,0.350,0.580
diphone,ɔ̃ p,mon père,1-2.wav,0.470,0.730
diphone,p ɛ,père,1-2.wav,0.580,0.880
diphone,ɛ ʁ,père,1-2.wav,0.730,1.030
diphone,ʁ m,père m'a,1-2.wav,0.880,1.160
diphone,m a,m'a,1-2.wav,1.030,1.250
diphone,a d,m'a donné,1-2.wav,1.160,1.340
diphone,d ɔ,donné,1-2.wav,1.250,1.410
diphone,ɔ n,donné,1-2.wav,1.340,1.530
diphone,n e,donné,1-2.wav,1.410,1.650
diphone,e l,donné l'autorisation,1-2.wav,1.530,1.810
diphone,l o,l'autorisation,1-2.wav,1.650,1.880
diphone,o t,l'autorisation,1-2.wav,1.810,2.000
diphone,t ɔ,l'autorisation,1-2.wav,1.880,2.070
diphone,ɔ ʁ,l'autorisation,1-2.wav,2.000,2.140
diphone,ʁ i,l'autorisation,1-2.wav,2.070,2.230
diphone,i z,l'autorisation,1-2.wav,2.140,2.310
diphone,z a,l'autorisation,1-2.wav,2.230,2.390
diphone,a s,l'autorisation,1-2.wav,2.310,2.570
diphone,s j,l'autorisation,1-2.wav,2.390,2.630
diphone,j ɔ̃,l'autorisation,1-2.wav,2.570,2.750
diphone,ɔ̃ v,l'autorisation vous,1-2.wav,2.630,3.720
diphone,v u,vous,1-2.wav,3.650,3.800
diphone,u p,vous poussez,1-2.wav,3.720,3.920
diphone,p u,poussez,1-2.wav,3.800,3.980
diphone,u s,poussez,1-2.wav,3.920,4.150
diphone,s e,poussez,1-2.wav,3.980,4.280
diphone,e d,poussez des,1-2.wav,4.150,4.330
diphone,d e,des,1-2.wav,4.280,4.410
diphone,e k,des cris,1-2.wav,4.330,4.470
diphone,k ʁ,cris,1-2.wav,4.410,4.580
diphone,ʁ i,cris,1-2.wav,4.470,4.660
diphone,i d,cris de,1-2.wav,4.580,4.730
diphone,d ə,de,1-2.wav,4.660,4.750
diphone,ə k,de colère,1-2.wav,4.730,4.880
diphone,k ɔ,colère,1-2.wav,4.750,4.940
diphone,ɔ l,colère,1-2.wav,4.880,5.010
diphone,l ɛ,colère,1-2.wav,4.940,5.190
diphone,ɛ ʁ,colère,1-2.wav,5.010,5.460
diphone,ʁ s,colère ce,1-2.wav,5.190,6.350
diphone,s ə,ce,1-2.wav,6.170,6.370
diphone,ə p,ce petit,1-2.wav,6.350,6.510
diphone,p ə,petit,1-2.wav,6.370,6.530
diphone,ə t,petit,1-2.wav,6.510,6.690
diphone,t i,petit,1-2.wav,6.530,6.830
diphone,i k,petit canard,1-2.wav,6.690,6.890
